dataset_index,true_label,adv_pred,adv_conf,attack_success,linf
0,0,76,1.0,True,0.03137257695198059
1,0,646,1.0,True,0.03137257695198059
2,0,474,1.0,True,0.03137257695198059
3,0,109,1.0,True,0.03137257695198059
4,0,391,1.0,True,0.03137257695198059
5,0,824,1.0,True,0.03137257695198059
6,0,542,1.0,True,0.03137257695198059
7,0,987,1.0,True,0.03137257695198059
8,0,395,1.0,True,0.03137257695198059
9,0,84,1.0,True,0.03137257695198059
10,0,987,0.9999730587005615,True,0.03137257695198059
11,0,391,1.0,True,0.03137257695198059
12,0,82,0.9998227953910828,True,0.03137257695198059
13,0,36,1.0,True,0.03137257695198059
14,0,953,1.0,True,0.03137257695198059
15,0,514,1.0,True,0.03137257695198059
16,0,775,1.0,True,0.03137257695198059
17,0,389,1.0,True,0.03137257695198059
18,0,51,1.0,True,0.03137257695198059
19,0,84,1.0,True,0.03137257695198059
20,0,216,1.0,True,0.03137257695198059
22,0,284,1.0,True,0.03137257695198059
23,0,389,1.0,True,0.03137257695198059
24,0,589,1.0,True,0.03137257695198059
25,0,955,1.0,True,0.03137257695198059
26,0,362,1.0,True,0.03137257695198059
27,0,265,0.9999998807907104,True,0.03137257695198059
28,0,39,1.0,True,0.03137257695198059
29,0,389,1.0,True,0.03137257695198059
30,0,193,1.0,True,0.03137257695198059
31,0,378,1.0,True,0.03137257695198059
32,0,36,1.0,True,0.03137257695198059
33,0,431,1.0,True,0.03137257695198059
34,0,700,1.0,True,0.03137257695198059
35,0,611,1.0,True,0.03137257695198059
36,0,265,0.999991774559021,True,0.03137257695198059
37,0,601,1.0,True,0.03137257695198059
38,0,170,1.0,True,0.03137257695198059
39,0,589,1.0,True,0.03137257695198059
40,0,452,1.0,True,0.03137257695198059
41,0,389,1.0,True,0.03137257695198059
42,0,845,1.0,True,0.03137257695198059
43,0,170,1.0,True,0.03137257695198059
44,0,67,1.0,True,0.03137257695198059
45,0,580,1.0,True,0.03137257695198059
46,0,212,1.0,True,0.03137257695198059
47,0,815,1.0,True,0.03137257695198059
48,0,389,1.0,True,0.03137257695198059
49,0,40,0.9966039657592773,True,0.03137257695198059
50,0,953,1.0,True,0.03137257695198059
51,0,389,1.0,True,0.03137257695198059
52,0,558,1.0,True,0.03137257695198059
53,0,391,1.0,True,0.03137257695198059
54,0,202,1.0,True,0.03137257695198059
55,0,589,1.0,True,0.03137257695198059
56,0,703,1.0,True,0.03137257695198059
57,0,39,1.0,True,0.03137257695198059
58,0,389,1.0,True,0.03137257695198059
59,0,390,1.0,True,0.03137257695198059
60,0,815,1.0,True,0.03137257695198059
61,0,389,1.0,True,0.03137257695198059
62,0,169,1.0,True,0.03137257695198059
63,0,177,1.0,True,0.03137257695198059
64,0,192,1.0,True,0.03137257695198059
65,0,109,1.0,True,0.03137257695198059
66,0,641,1.0,True,0.03137257695198059
67,0,50,1.0,True,0.03137257695198059
68,0,60,1.0,True,0.03137257695198059
69,0,39,1.0,True,0.03137257695198059
70,0,203,1.0,True,0.03137257695198059
71,0,367,1.0,True,0.03137257695198059
72,0,395,1.0,True,0.03137257695198059
73,0,953,1.0,True,0.03137257695198059
74,0,546,1.0,True,0.03137257695198059
75,0,641,1.0,True,0.03137257695198059
76,0,389,1.0,True,0.03137257695198059
77,0,396,1.0,True,0.03137257695198059
78,0,382,1.0,True,0.03137257695198059
79,0,187,1.0,True,0.03137257695198059
80,0,338,1.0,True,0.03137257695198059
81,0,363,1.0,True,0.03137257695198059
82,0,391,1.0,True,0.03137257695198059
83,0,389,1.0,True,0.03137257695198059
84,0,389,1.0,True,0.03137257695198059
85,0,124,1.0,True,0.03137257695198059
86,0,955,1.0,True,0.03137257695198059
87,0,187,1.0,True,0.03137257695198059
88,0,641,1.0,True,0.03137257695198059
89,0,51,1.0,True,0.03137257695198059
90,0,391,1.0,True,0.03137257695198059
91,0,391,1.0,True,0.03137257695198059
92,0,342,0.999998927116394,True,0.03137257695198059
93,0,109,1.0,True,0.03137257695198059
94,0,588,1.0,True,0.03137257695198059
95,0,363,1.0,True,0.03137257695198059
96,0,338,1.0,True,0.03137257695198059
97,0,382,1.0,True,0.03137257695198059
98,0,389,1.0,True,0.03137257695198059
99,0,224,1.0,True,0.03137257695198059
100,0,389,1.0,True,0.03137257695198059
101,0,469,1.0,True,0.03137257695198059
102,0,973,1.0,True,0.03137257695198059
103,0,585,1.0,True,0.03137257695198059
104,0,850,1.0,True,0.03137257695198059
105,0,389,1.0,True,0.03137257695198059
106,0,170,1.0,True,0.03137257695198059
107,0,39,1.0,True,0.03137257695198059
108,0,391,1.0,True,0.03137257695198059
109,0,197,1.0,True,0.03137257695198059
110,0,50,1.0,True,0.03137257695198059
111,0,391,1.0,True,0.03137257695198059
112,0,36,1.0,True,0.03137257695198059
114,0,395,1.0,True,0.03137257695198059
115,0,109,1.0,True,0.03137257695198059
116,0,391,1.0,True,0.03137257695198059
117,0,585,1.0,True,0.03137257695198059
118,0,394,1.0,True,0.03137257695198059
119,0,157,1.0,True,0.03137257695198059
120,0,39,1.0,True,0.03137257695198059
121,0,51,1.0,True,0.03137257695198059
122,0,76,1.0,True,0.03137257695198059
123,0,700,1.0,True,0.03137257695198059
124,0,787,1.0,True,0.03137257695198059
125,0,334,1.0,True,0.03137257695198059
126,0,777,1.0,True,0.03137257695198059
127,0,589,1.0,True,0.03137257695198059
128,0,377,1.0,True,0.03137257695198059
129,0,382,1.0,True,0.03137257695198059
130,0,956,1.0,True,0.03137257695198059
131,0,641,1.0,True,0.03137257695198059
132,0,363,1.0,True,0.03137257695198059
133,0,346,1.0,True,0.03137257695198059
134,0,50,1.0,True,0.03137257695198059
135,0,361,1.0,True,0.03137257695198059
136,0,955,1.0,True,0.03137257695198059
137,0,36,1.0,True,0.03137257695198059
138,0,796,1.0,True,0.03137257695198059
139,0,549,1.0,True,0.03137257695198059
140,0,523,1.0,True,0.03137257695198059
141,0,364,1.0,True,0.03137257695198059
142,0,390,1.0,True,0.03137257695198059
143,0,516,1.0,True,0.03137257695198059
144,0,787,1.0,True,0.03137257695198059
145,0,605,1.0,True,0.03137257695198059
146,0,391,1.0,True,0.03137257695198059
147,0,641,1.0,True,0.03137257695198059
148,0,815,1.0,True,0.03137257695198059
149,0,51,1.0,True,0.03137257695198059
150,0,364,1.0,True,0.03137257695198059
151,0,3,0.9999988079071045,True,0.03137257695198059
152,0,151,1.0,True,0.03137257695198059
153,0,76,1.0,True,0.03137257695198059
154,0,740,1.0,True,0.03137257695198059
155,0,850,1.0,True,0.03137257695198059
156,0,109,1.0,True,0.03137257695198059
157,0,741,1.0,True,0.03137257695198059
158,0,50,1.0,True,0.03137257695198059
159,0,234,1.0,True,0.03137257695198059
160,0,234,1.0,True,0.03137257695198059
161,0,763,1.0,True,0.03137257695198059
162,0,585,1.0,True,0.03137257695198059
163,0,171,1.0,True,0.03137257695198059
164,0,258,1.0,True,0.03137257695198059
165,0,390,1.0,True,0.03137257695198059
166,0,580,1.0,True,0.03137257695198059
167,0,254,1.0,True,0.03137257695198059
168,0,109,1.0,True,0.03137257695198059
169,0,46,1.0,True,0.03137257695198059
170,0,232,0.9999818801879883,True,0.03137257695198059
171,0,973,1.0,True,0.03137257695198059
172,0,39,1.0,True,0.03137257695198059
173,0,124,1.0,True,0.03137257695198059
174,0,109,1.0,True,0.03137257695198059
175,0,36,1.0,True,0.03137257695198059
176,0,341,1.0,True,0.03137257695198059
177,0,389,1.0,True,0.03137257695198059
178,0,389,1.0,True,0.03137257695198059
179,0,109,1.0,True,0.03137257695198059
180,0,364,1.0,True,0.03137257695198059
181,0,589,1.0,True,0.03137257695198059
182,0,184,1.0,True,0.03137257695198059
183,0,772,1.0,True,0.03137257695198059
184,0,389,1.0,True,0.03137257695198059
185,0,862,1.0,True,0.03137257695198059
186,0,787,1.0,True,0.03137257695198059
187,0,395,1.0,True,0.03137257695198059
188,0,333,1.0,True,0.03137257695198059
189,0,391,1.0,True,0.03137257695198059
190,0,362,1.0,True,0.03137257695198059
191,0,162,1.0,True,0.03137257695198059
192,0,831,1.0,True,0.03137257695198059
193,0,456,1.0,True,0.03137257695198059
194,0,389,1.0,True,0.03137257695198059
195,0,124,1.0,True,0.03137257695198059
196,0,806,1.0,True,0.03137257695198059
197,0,39,1.0,True,0.03137257695198059
198,0,395,1.0,True,0.03137257695198059
199,0,474,1.0,True,0.03137257695198059
200,0,109,1.0,True,0.03137257695198059
201,0,748,1.0,True,0.03137257695198059
202,0,36,1.0,True,0.03137257695198059
203,0,389,1.0,True,0.03137257695198059
204,0,731,1.0,True,0.03137257695198059
205,0,955,1.0,True,0.03137257695198059
206,0,382,1.0,True,0.03137257695198059
207,0,787,1.0,True,0.03137257695198059
208,0,758,1.0,True,0.03137257695198059
209,0,801,1.0,True,0.03137257695198059
210,0,390,1.0,True,0.03137257695198059
211,0,201,1.0,True,0.03137257695198059
212,0,50,1.0,True,0.03137257695198059
213,0,389,1.0,True,0.03137257695198059
214,0,259,1.0,True,0.03137257695198059
215,0,514,1.0,True,0.03137257695198059
216,0,109,1.0,True,0.03137257695198059
217,0,641,1.0,True,0.03137257695198059
218,0,364,1.0,True,0.03137257695198059
219,0,395,1.0,True,0.03137257695198059
220,0,395,1.0,True,0.03137257695198059
221,0,389,1.0,True,0.03137257695198059
222,0,542,1.0,True,0.03137257695198059
223,0,395,1.0,True,0.03137257695198059
224,0,391,1.0,True,0.03137257695198059
225,0,474,1.0,True,0.03137257695198059
226,0,395,1.0,True,0.03137257695198059
227,0,151,1.0,True,0.03137257695198059
228,0,381,1.0,True,0.03137257695198059
229,0,939,1.0,True,0.03137257695198059
230,0,26,0.9999998807907104,True,0.03137257695198059
231,0,263,1.0,True,0.03137257695198059
232,0,936,1.0,True,0.03137257695198059
233,0,711,1.0,True,0.03137257695198059
234,0,37,1.0,True,0.03137257695198059
235,0,282,1.0,True,0.03137257695198059
237,0,90,1.0,True,0.03137257695198059
238,0,109,1.0,True,0.03137257695198059
239,0,655,1.0,True,0.03137257695198059
240,0,299,1.0,True,0.03137257695198059
241,0,51,1.0,True,0.03137257695198059
242,0,389,1.0,True,0.03137257695198059
243,0,171,1.0,True,0.03137257695198059
244,0,824,1.0,True,0.03137257695198059
245,0,391,1.0,True,0.03137257695198059
246,0,397,1.0,True,0.03137257695198059
247,0,389,1.0,True,0.03137257695198059
248,0,611,1.0,True,0.03137257695198059
249,0,395,1.0,True,0.03137257695198059
250,0,700,1.0,True,0.03137257695198059
253,0,39,1.0,True,0.03137257695198059
254,0,903,1.0,True,0.03137257695198059
255,0,51,1.0,True,0.03137257695198059
256,0,758,1.0,True,0.03137257695198059
258,0,389,1.0,True,0.03137257695198059
259,0,815,1.0,True,0.03137257695198059
260,0,902,1.0,True,0.03137257695198059
261,0,568,1.0,True,0.03137257695198059
262,0,60,1.0,True,0.03137257695198059
263,0,371,1.0,True,0.03137257695198059
264,0,777,1.0,True,0.03137257695198059
265,0,843,1.0,True,0.03137257695198059
266,0,641,1.0,True,0.03137257695198059
267,0,850,1.0,True,0.03137257695198059
268,0,247,1.0,True,0.03137257695198059
269,0,793,1.0,True,0.03137257695198059
270,0,391,1.0,True,0.03137257695198059
271,0,389,1.0,True,0.03137257695198059
272,0,850,1.0,True,0.03137257695198059
273,0,457,1.0,True,0.03137257695198059
274,0,391,1.0,True,0.03137257695198059
275,0,955,1.0,True,0.03137257695198059
276,0,46,0.9999998807907104,True,0.03137257695198059
277,0,911,1.0,True,0.03137257695198059
278,0,377,1.0,True,0.03137257695198059
279,0,151,1.0,True,0.03137257695198059
280,0,187,0.9999186992645264,True,0.03137257695198059
281,0,382,1.0,True,0.03137257695198059
282,0,36,1.0,True,0.03137257695198059
283,0,51,1.0,True,0.03137257695198059
284,0,50,1.0,True,0.03137257695198059
285,0,395,1.0,True,0.03137257695198059
286,0,355,1.0,True,0.03137257695198059
287,0,36,1.0,True,0.03137257695198059
288,0,395,1.0,True,0.03137257695198059
289,0,389,1.0,True,0.03137257695198059
290,0,955,1.0,True,0.03137257695198059
291,0,857,1.0,True,0.03137257695198059
292,0,389,1.0,True,0.03137257695198059
293,0,109,1.0,True,0.03137257695198059
294,0,151,1.0,True,0.03137257695198059
295,0,652,1.0,True,0.03137257695198059
296,0,589,1.0,True,0.03137257695198059
297,0,641,1.0,True,0.03137257695198059
298,0,51,1.0,True,0.03137257695198059
299,0,391,1.0,True,0.03137257695198059
300,0,364,1.0,True,0.03137257695198059
301,0,76,1.0,True,0.03137257695198059
302,0,199,1.0,True,0.03137257695198059
303,0,311,0.9998786449432373,True,0.03137257695198059
304,0,50,1.0,True,0.03137257695198059
306,0,389,1.0,True,0.03137257695198059
307,0,39,1.0,True,0.03137257695198059
308,0,585,1.0,True,0.03137257695198059
309,0,850,1.0,True,0.03137257695198059
311,0,151,1.0,True,0.03137257695198059
312,0,395,1.0,True,0.03137257695198059
313,0,109,1.0,True,0.03137257695198059
314,0,151,1.0,True,0.03137257695198059
315,0,389,1.0,True,0.03137257695198059
316,0,329,1.0,True,0.03137257695198059
317,0,876,0.9999591112136841,True,0.03137257695198059
318,0,487,1.0,True,0.03137257695198059
319,0,395,1.0,True,0.03137257695198059
320,0,285,1.0,True,0.03137257695198059
321,0,358,1.0,True,0.03137257695198059
322,0,228,1.0,True,0.03137257695198059
323,0,850,1.0,True,0.03137257695198059
324,0,60,1.0,True,0.03137257695198059
325,0,395,1.0,True,0.03137257695198059
326,0,62,1.0,True,0.03137257695198059
327,0,431,1.0,True,0.03137257695198059
328,0,655,1.0,True,0.03137257695198059
329,0,60,1.0,True,0.03137257695198059
330,0,584,1.0,True,0.03137257695198059
331,0,424,1.0,True,0.03137257695198059
332,0,658,1.0,True,0.03137257695198059
333,0,157,1.0,True,0.03137257695198059
334,0,824,1.0,True,0.03137257695198059
335,0,381,1.0,True,0.03137257695198059
336,0,84,1.0,True,0.03137257695198059
337,0,224,1.0,True,0.03137257695198059
338,0,862,1.0,True,0.03137257695198059
339,0,389,1.0,True,0.03137257695198059
341,0,955,1.0,True,0.03137257695198059
342,0,611,1.0,True,0.03137257695198059
343,0,452,1.0,True,0.03137257695198059
344,0,395,1.0,True,0.03137257695198059
345,0,748,1.0,True,0.03137257695198059
346,0,377,1.0,True,0.03137257695198059
347,0,389,1.0,True,0.03137257695198059
348,0,389,1.0,True,0.03137257695198059
349,0,389,1.0,True,0.03137257695198059
350,0,265,0.9999973773956299,True,0.03137257695198059
351,0,956,1.0,True,0.03137257695198059
352,0,39,1.0,True,0.03137257695198059
353,0,34,1.0,True,0.03137257695198059
354,0,391,1.0,True,0.03137257695198059
355,0,212,1.0,True,0.03137257695198059
356,0,372,1.0,True,0.03137257695198059
357,0,389,1.0,True,0.03137257695198059
358,0,630,1.0,True,0.03137257695198059
359,0,381,1.0,True,0.03137257695198059
360,0,761,1.0,True,0.03137257695198059
361,0,395,1.0,True,0.03137257695198059
362,0,815,1.0,True,0.03137257695198059
363,0,903,1.0,True,0.03137257695198059
364,0,109,1.0,True,0.03137257695198059
365,0,202,1.0,True,0.03137257695198059
366,0,199,1.0,True,0.03137257695198059
367,0,109,1.0,True,0.03137257695198059
368,0,284,1.0,True,0.03137257695198059
369,0,377,1.0,True,0.03137257695198059
371,0,377,1.0,True,0.03137257695198059
372,0,214,1.0,True,0.03137257695198059
373,0,36,1.0,True,0.03137257695198059
374,0,391,1.0,True,0.03137257695198059
375,0,377,1.0,True,0.03137257695198059
376,0,239,1.0,True,0.03137257695198059
377,0,295,1.0,True,0.03137257695198059
379,0,955,1.0,True,0.03137257695198059
380,0,955,1.0,True,0.03137257695198059
381,0,359,0.9985567927360535,True,0.03137257695198059
382,0,865,1.0,True,0.03137257695198059
383,0,86,0.9999071359634399,True,0.03137257695198059
384,0,151,1.0,True,0.03137257695198059
385,0,51,1.0,True,0.03137257695198059
386,0,956,1.0,True,0.03137257695198059
387,217,151,1.0,True,0.03137257695198059
388,217,239,1.0,True,0.03137257695198059
389,217,700,1.0,True,0.03137257695198059
390,217,164,1.0,True,0.03137257695198059
391,217,676,1.0,True,0.03137257695198059
392,217,232,0.9988569021224976,True,0.03137257695198059
393,217,151,1.0,True,0.03137257695198059
394,217,611,1.0,True,0.03137257695198059
395,217,218,1.0,True,0.03137257695198059
396,217,247,1.0,True,0.03137257695198059
397,217,171,1.0,True,0.03137257695198059
398,217,852,1.0,True,0.03137257695198059
399,217,247,1.0,True,0.03137257695198059
400,217,700,1.0,True,0.03137257695198059
401,217,201,1.0,True,0.03137257695198059
402,217,152,1.0,True,0.03137257695198059
403,217,169,1.0,True,0.03137257695198059
404,217,172,1.0,True,0.03137257695198059
405,217,797,1.0,True,0.03137257695198059
406,217,218,1.0,True,0.03137257695198059
407,217,212,1.0,True,0.03137257695198059
408,217,806,1.0,True,0.03137257695198059
409,217,264,1.0,True,0.03137257695198059
410,217,676,1.0,True,0.03137257695198059
411,217,230,1.0,True,0.03137257695198059
412,217,264,1.0,True,0.03137257695198059
413,217,218,1.0,True,0.03137257695198059
414,217,700,1.0,True,0.03137257695198059
415,217,200,1.0,True,0.03137257695198059
416,217,176,1.0,True,0.03137257695198059
417,217,676,1.0,True,0.03137257695198059
418,217,611,1.0,True,0.03137257695198059
419,217,249,1.0,True,0.03137257695198059
420,217,177,1.0,True,0.03137257695198059
421,217,157,1.0,True,0.03137257695198059
422,217,218,1.0,True,0.03137257695198059
423,217,172,1.0,True,0.03137257695198059
424,217,169,1.0,True,0.03137257695198059
425,217,358,1.0,True,0.03137257695198059
428,217,104,1.0,True,0.03137257695198059
429,217,169,1.0,True,0.03137257695198059
