dataset_index,true_label,adv_pred,adv_conf,attack_success
0,0,0,0.12259713560342789,False
1,0,0,0.12531857192516327,False
2,0,0,0.34136679768562317,False
3,0,0,0.23043347895145416,False
4,0,391,0.3315921127796173,True
5,0,0,0.3953206539154053,False
6,0,0,0.27174118161201477,False
7,0,0,0.17452257871627808,False
8,0,0,0.14281834661960602,False
9,0,0,0.33622634410858154,False
10,0,0,0.255621075630188,False
11,0,389,0.23535291850566864,True
12,0,0,0.20559720695018768,False
13,0,0,0.3574005365371704,False
14,0,0,0.28170284628868103,False
15,0,0,0.5818787813186646,False
16,0,389,0.08487468957901001,True
17,0,0,0.09093938767910004,False
18,0,0,0.22740040719509125,False
19,0,0,0.05885516107082367,False
20,0,0,0.28115493059158325,False
22,0,0,0.27093783020973206,False
23,0,0,0.17888866364955902,False
24,0,0,0.05604846775531769,False
25,0,0,0.31955090165138245,False
26,0,0,0.1848071813583374,False
27,0,0,0.2964591085910797,False
28,0,0,0.3293684720993042,False
29,0,0,0.2532820701599121,False
30,0,0,0.21346621215343475,False
31,0,0,0.4557739496231079,False
32,0,0,0.1516743153333664,False
33,0,0,0.37837865948677063,False
34,0,103,0.06505786627531052,True
35,0,0,0.17379216849803925,False
36,0,0,0.2589814364910126,False
37,0,36,0.03758383169770241,True
38,0,0,0.19950197637081146,False
39,0,0,0.1462603360414505,False
40,0,389,0.1411576122045517,True
41,0,0,0.13983860611915588,False
42,0,0,0.20275519788265228,False
43,0,0,0.300097793340683,False
44,0,0,0.1755649745464325,False
45,0,0,0.261478453874588,False
46,0,0,0.3900493383407593,False
47,0,389,0.22666290402412415,True
48,0,0,0.1626085489988327,False
49,0,0,0.2791120707988739,False
50,0,0,0.1383095234632492,False
51,0,389,0.06620132178068161,True
52,0,0,0.13419000804424286,False
53,0,0,0.20908145606517792,False
54,0,0,0.27915292978286743,False
55,0,0,0.3500472605228424,False
56,0,238,0.029687808826565742,True
57,0,0,0.06919345259666443,False
58,0,0,0.10927443206310272,False
59,0,0,0.2831505835056305,False
60,0,0,0.11281857639551163,False
61,0,0,0.19222868978977203,False
62,0,0,0.217982679605484,False
63,0,0,0.15209032595157623,False
64,0,0,0.318294495344162,False
65,0,0,0.38219234347343445,False
66,0,0,0.36546769738197327,False
67,0,0,0.1345125138759613,False
68,0,0,0.36814698576927185,False
69,0,0,0.3070979118347168,False
70,0,0,0.2540396451950073,False
71,0,106,0.11853648722171783,True
72,0,0,0.22620636224746704,False
73,0,0,0.24674879014492035,False
74,0,389,0.16368690133094788,True
75,0,0,0.3090408444404602,False
76,0,0,0.24129796028137207,False
77,0,0,0.26291996240615845,False
78,0,0,0.43815088272094727,False
79,0,0,0.38710111379623413,False
80,0,0,0.35031211376190186,False
81,0,0,0.3197406232357025,False
82,0,0,0.2612716555595398,False
83,0,389,0.3852784037590027,True
84,0,0,0.15978267788887024,False
85,0,0,0.23560918867588043,False
86,0,0,0.22009554505348206,False
87,0,0,0.34378132224082947,False
88,0,0,0.21851010620594025,False
89,0,0,0.13978838920593262,False
90,0,1,0.12530365586280823,True
91,0,391,0.15332582592964172,True
92,0,389,0.12164341658353806,True
93,0,0,0.40768638253211975,False
94,0,0,0.23119692504405975,False
95,0,389,0.07832781225442886,True
96,0,0,0.2701633870601654,False
97,0,0,0.3118053078651428,False
98,0,389,0.23303066194057465,True
99,0,0,0.14290332794189453,False
100,0,389,0.25213682651519775,True
101,0,391,0.06887052953243256,True
102,0,0,0.2306915670633316,False
103,0,0,0.3956034183502197,False
104,0,0,0.17576196789741516,False
105,0,0,0.23232132196426392,False
106,0,0,0.2058495581150055,False
107,0,0,0.39427345991134644,False
108,0,391,0.3694719672203064,True
109,0,0,0.1962186098098755,False
110,0,0,0.3115554451942444,False
111,0,1,0.08109290897846222,True
112,0,0,0.287871778011322,False
114,0,0,0.41658106446266174,False
115,0,0,0.35063403844833374,False
116,0,0,0.3517027199268341,False
117,0,0,0.3382858335971832,False
118,0,0,0.15333294868469238,False
119,0,0,0.2231011539697647,False
120,0,0,0.3122759163379669,False
121,0,0,0.07593837380409241,False
122,0,0,0.1746935397386551,False
123,0,0,0.09559053927659988,False
124,0,0,0.06830801069736481,False
125,0,0,0.17425388097763062,False
126,0,0,0.32683247327804565,False
127,0,0,0.20673254132270813,False
128,0,0,0.1673719882965088,False
129,0,0,0.2549518048763275,False
130,0,0,0.15743552148342133,False
131,0,0,0.447336882352829,False
132,0,363,0.07466491311788559,True
133,0,0,0.16690801084041595,False
134,0,0,0.37375929951667786,False
135,0,0,0.2812144458293915,False
136,0,0,0.3399879038333893,False
137,0,0,0.4501386880874634,False
138,0,389,0.05273608863353729,True
139,0,0,0.05829141288995743,False
140,0,0,0.18679718673229218,False
141,0,395,0.06251690536737442,True
142,0,0,0.38975125551223755,False
143,0,0,0.24251265823841095,False
144,0,0,0.33085474371910095,False
145,0,389,0.1727275848388672,True
146,0,391,0.13579733669757843,True
147,0,0,0.1332581490278244,False
148,0,0,0.241917684674263,False
149,0,389,0.25655511021614075,True
150,0,0,0.18042388558387756,False
151,0,3,0.24865517020225525,True
152,0,0,0.20274268090724945,False
153,0,0,0.10421010106801987,False
154,0,0,0.29914015531539917,False
155,0,0,0.3035321831703186,False
156,0,0,0.34848228096961975,False
157,0,0,0.41969573497772217,False
158,0,0,0.24646541476249695,False
159,0,0,0.08977017551660538,False
160,0,0,0.3382822573184967,False
161,0,0,0.203985333442688,False
162,0,585,0.04649854823946953,True
163,0,36,0.07546161115169525,True
164,0,0,0.13623878359794617,False
165,0,0,0.3569161593914032,False
166,0,0,0.3466901481151581,False
167,0,0,0.35578256845474243,False
168,0,0,0.2603641748428345,False
169,0,0,0.13783548772335052,False
170,0,0,0.2107546031475067,False
171,0,390,0.1456591635942459,True
172,0,0,0.18285030126571655,False
173,0,0,0.2804960608482361,False
174,0,2,0.09680426120758057,True
175,0,0,0.42515257000923157,False
176,0,0,0.3191736340522766,False
177,0,0,0.22592926025390625,False
178,0,389,0.3335467576980591,True
